LogFile Data Coherent Correlation Imaging:

---------------------------- Header -----------------------------------
Image Format Holograms: [960,972]
Image Format Reference-filtered : [960,972]
Image Format Flattened Holograms: [70,70]
Image Format Correlation matrix: [28800,28800]
Format: Float64
---------------------------- Data -----------------------------------
Frame_Nr:	 Timestamp:	 Helicitiy:	 State:	 Mode:	 Topography-Nr:	 Translation_y:	 Translation_x:	 FileName:
113	 65.845	 -1	 1	 1-1	 1	 0.002	 -0.002	 00113.bin	
114	 66.232	 -1	 1	 1-1	 1	 0.010	 -0.001	 00114.bin	
115	 66.619	 -1	 1	 1-1	 1	 0.001	 -0.024	 00115.bin	
116	 67.006	 -1	 1	 1-1	 1	 0.014	 0.001	 00116.bin	
117	 67.393	 -1	 1	 1-1	 1	 0.015	 -0.004	 00117.bin	
118	 67.780	 -1	 1	 1-1	 1	 0.023	 0.002	 00118.bin	
119	 68.167	 -1	 1	 1-1	 1	 -0.007	 -0.005	 00119.bin	
120	 68.554	 -1	 1	 1-1	 1	 0.008	 -0.007	 00120.bin	
121	 68.941	 -1	 1	 1-1	 1	 -0.002	 0.007	 00121.bin	
122	 69.328	 -1	 1	 1-1	 1	 0.013	 -0.010	 00122.bin	
123	 69.715	 -1	 1	 1-1	 1	 -0.004	 -0.010	 00123.bin	
124	 70.102	 -1	 1	 1-1	 1	 0.008	 0.001	 00124.bin	
125	 70.489	 -1	 1	 1-1	 1	 0.007	 0.003	 00125.bin	
126	 70.876	 -1	 1	 1-1	 1	 0.014	 0.010	 00126.bin	
127	 71.263	 -1	 1	 1-1	 1	 -0.006	 0.007	 00127.bin	
128	 71.650	 -1	 1	 1-1	 1	 0.015	 -0.004	 00128.bin	
129	 72.037	 -1	 1	 1-1	 1	 0.007	 0.018	 00129.bin	
130	 72.424	 -1	 1	 1-1	 1	 0.009	 0.007	 00130.bin	
131	 72.811	 -1	 1	 1-1	 1	 -0.000	 0.013	 00131.bin	
132	 73.198	 -1	 1	 1-1	 1	 -0.001	 0.011	 00132.bin	
133	 73.585	 -1	 1	 1-1	 1	 -0.000	 0.013	 00133.bin	
134	 73.972	 -1	 1	 1-1	 1	 0.013	 0.018	 00134.bin	
135	 74.359	 -1	 1	 1-1	 1	 0.007	 0.012	 00135.bin	
136	 74.746	 -1	 1	 1-1	 1	 -0.012	 0.002	 00136.bin	
137	 75.133	 -1	 1	 1-1	 1	 0.008	 0.009	 00137.bin	
138	 75.520	 -1	 1	 1-1	 1	 -0.001	 0.016	 00138.bin	
139	 75.906	 -1	 1	 1-1	 1	 0.007	 0.008	 00139.bin	
140	 76.294	 -1	 1	 1-1	 1	 0.002	 0.011	 00140.bin	
141	 76.681	 -1	 1	 1-1	 1	 0.009	 0.007	 00141.bin	
142	 77.068	 -1	 1	 1-1	 1	 0.005	 0.019	 00142.bin	
143	 77.455	 -1	 1	 1-1	 1	 -0.007	 0.008	 00143.bin	
144	 77.842	 -1	 1	 1-1	 1	 0.019	 0.010	 00144.bin	
145	 78.229	 -1	 1	 1-1	 1	 0.009	 -0.001	 00145.bin	
146	 78.614	 -1	 1	 1-1	 1	 -0.007	 0.008	 00146.bin	
147	 79.003	 -1	 1	 1-1	 1	 0.014	 0.007	 00147.bin	
148	 79.389	 -1	 1	 1-1	 1	 -0.007	 0.016	 00148.bin	
149	 79.777	 -1	 1	 1-1	 1	 0.009	 0.012	 00149.bin	
150	 80.163	 -1	 1	 1-1	 1	 0.000	 -0.000	 00150.bin	
151	 80.551	 -1	 1	 1-1	 1	 0.006	 0.003	 00151.bin	
152	 80.937	 -1	 1	 1-1	 1	 0.021	 0.007	 00152.bin	
153	 81.325	 -1	 1	 1-1	 1	 -0.012	 -0.001	 00153.bin	
154	 81.712	 -1	 1	 1-1	 1	 0.001	 0.008	 00154.bin	
155	 82.099	 -1	 1	 1-1	 1	 0.001	 -0.002	 00155.bin	
156	 82.485	 -1	 1	 1-1	 1	 0.006	 0.003	 00156.bin	
157	 82.872	 -1	 1	 1-1	 1	 -0.022	 0.004	 00157.bin	
158	 83.259	 -1	 1	 1-1	 1	 0.010	 0.002	 00158.bin	
159	 83.646	 -1	 1	 1-1	 1	 -0.016	 0.002	 00159.bin	
160	 84.033	 -1	 1	 1-1	 1	 -0.004	 -0.016	 00160.bin	
